[2021-05-21 14:27:22][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:27:22][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:22][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:27][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:27:27][WebRTC][main-2] onActivityCreated com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:27:27][WebRTC][main-2] onActivityStarted com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:27:27][WebRTC][main-2] onActivityResumed com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:27:28][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:27:36][WebRTC][main-2] onActivityPaused com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:27:36][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:27:36][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:27:37][WebRTC][main-2] onActivityStopped com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:27:37][WebRTC][main-2] onActivityDestroyed com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:27:39][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:27:39][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:39][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:39][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:39][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:42][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:42][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:42][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:28:42][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:28:43][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:28:43][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:43][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:44][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:28:44][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:28:44][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:44][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:28:44][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:28:44][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:44][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:45][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:28:45][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:28:45][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:28:45][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:28:45][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:28:46][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:28:46][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:46][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:46][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:46][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:28:52][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:28:52][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
